 18.53	  1.21	  2.37
-20.26	-11.10	 10.08
 23.80	  9.01	 12.54
  3.51	-11.46	  8.73
  7.97	 -5.41	 21.49
 14.41	-14.42	-11.29
  5.15	 -2.82	 16.14
 -3.35	 -8.84	 13.90
-11.87	-13.52	 -2.13
-15.04	  2.07	 19.84
  1.14	-18.63	 12.18
 -9.70	 -1.41	 14.94
 13.71	 -3.31	-10.98
 10.75	 -3.60	-10.61
  8.59	  2.31	 22.92
 -0.23	-11.13	 -4.90
 -1.06	 -1.40	 -0.27
 11.26	 10.14	 -2.54
 -7.27	 -0.11	-11.73
  3.00	 -1.91	 -9.95
-10.32	 -1.67	 -7.08
-14.21	-11.13	 -0.52
 15.32	 -6.31	 -2.48
 16.18	 -9.46	 -5.62
  4.84	 -7.58	-14.46
  8.86	 25.11	 -1.43
-10.67	  5.72	  4.43
 -1.20	  7.27	-10.39
 10.86	  3.63	  7.91
  8.39	  4.35	  8.68
  5.03	  9.91	 -2.22
  5.62	  3.78	  1.42
 16.48	  5.67	  0.20
 13.27	-18.13	 -4.15
-13.04	-26.34	 -9.25
-10.46	  3.35	 -1.99
 22.46	 20.99	 -2.87
  9.96	 -3.94	  3.54
-14.51	  0.24	 -4.84
-14.41	 15.33	  4.13
 17.86	-11.41	 -3.94
  1.50	-11.91	 12.59
-12.07	  3.97	  4.98
-10.22	 -9.43	 10.76
 -2.07	-19.03	 -0.35
  3.07	-18.89	-10.58
-10.25	  8.45	  6.00
  0.94	-10.68	  3.92
  3.52	-16.57	  1.70
 11.41	 10.23	 -6.16
  5.08	  2.88	 -5.63
 16.73	 -3.95	 -5.59
 10.23	 -5.03	  1.94
 10.63	 -6.60	  6.39
 -5.39	-13.16	  4.06
-12.01	 -3.43	 16.54
 -1.94	 -3.11	 11.02
 -9.58	 -3.76	  2.92
 -9.89	 12.25	 -7.93
 -5.32	  5.80	-19.99
-12.41	  3.55	 -9.62
 16.06	  8.24	  0.08
-19.07	 14.93	 -8.11
-13.66	  1.78	 -0.91
-10.95	  1.10	 -8.61
 16.14	 -3.11	 -9.71
  8.95	  3.80	 10.54
 -8.28	 13.58	 -1.28
 24.22	  5.69	 -3.67
  3.08	  9.83	 12.78
 -2.92	 -6.66	-17.71
 -0.59	  3.42	 -7.44
 -4.97	 -8.47	-17.24
 -0.40	 18.02	-12.80
  8.70	 -2.01	  8.07
 -2.80	 -2.75	-14.38
  0.62	 -7.10	  8.83
 -1.88	  0.01	 -0.39
  9.17	 -0.82	 -3.98
 12.28	  8.54	-16.91
